Area Team Code,Area Team Name,Organisation Code,Organisation Name," Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown) ", Number of attendances from A&E Situation Reports (SitReps) - unscaled , Number of attendances from A&E Situation Reports (SitReps) - scaled [see footnote 1] ,A&E HES attendances as % of scaled SitRep attendances [see footnote 2],"Assessment of coverage of A&E HES data, compared to Sitrep data","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown attendance disposal category,% of attendances with unknown attendance disposal categories,"% of attendances with an attendance disposal category of ""Other""","Total number of attendances in A&E HES 

(excluding planned follow-up attendances, attendances where the attendance category was unknown, and attendances where the attendance disposal category was unknown)","Number of attendances with an attendance disposal of ""Left Department before being seen for treatment""",Left department before being seen for treatment,"Total number of applicable attendances for this indicator (1st A&E attendance, unplanned follow up attendance and unknown attendance)", Attendances with unknown attendance category ,% of attendances with an unknown attendance category,"Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Number of re-attendances within 7 days of a previous attendance at A&E,Re-attendance rate,% attendances with an arrival time of exactly midnight (00:00),"Total number of attendances in A&E HES that were brought in by ambulance

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown duration to initial assessment,% of attendances with unknown duration to assessment times,Did all attendances have a duration to assessment of 0 minutes?,% of attendances with an initial assessment time of exactly midnight (00:00) [see footnote 8],AssessMedian,95th Percentile [see footnote 4],Longest wait [see footnotes 5],"Total number of attendances in A&E HES 

(excluding planned follow-up attendances,  attendances where the attendance category was unknown, and attendances where the attendance disposal category was: Left Before Treatment, Left Refusing Treatment, or Unknown)",Attendances with unknown duration to treatment,% of attendances with unknown duration to treatment times,Did more than 25% of attendances have a duration to treatment of 0 minutes?,% attendances with a treatment time of exactly midnight (00:00),TreatMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with unknown duration to departure,% of attendances with unknown duration to departure times,Did more than 25% of attendances have a duration to departure of 0 minutes?,% attendances with a departure time of exactly midnight (00:00) [see footnote 8],TotalMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]"
,,ENG,ENGLAND,"1,543,938","1,550,154","1,660,890",93.0%,,"1,543,938","8,694",0.6%,2.0%,"1,535,244","39,213",2.6%,"1,549,638","5,700",0.4%,"1,543,938","117,797",7.6%,0.0%,"366,734","18,026",4.9%,,2.2%,4,67,"1,439","1,488,070","90,325",6.1%,,0.9%,53,182,"1,439",224,486,"1,439",112,238,"1,439","1,543,938",619,0.0%,,0.8%,133,306,"1,439"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44,"CHESHIRE, WARRINGTON AND WIRRAL ",RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,"3,858","3,661","3,923",98.3%,A&E HES attendances are within 10% of SitReps,"3,858",1,0.0%,0.0%,"3,857",120,3.1%,"3,858",0,0.0%,"3,858",185,4.8%,0.0%,*,*,0.0%,,0.0%,*,*,*,"3,736",0,0.0%,,0.0%,20,82,166,71,203,203,51,137,261,"3,858",1,0.0%,,0.0%,51,137,261
Q48,MERSEYSIDE ,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,"9,076","8,472","9,077",100.0%,A&E HES attendances are within 10% of SitReps,"9,076",1,0.0%,1.0%,"9,075",404,4.5%,"9,076",0,0.0%,"9,076",770,8.5%,0.1%,"2,610",0,0.0%,,0.1%,0,3,33,"8,671",831,9.6%,,0.1%,75,215,"1,433",202,502,"1,245",130,239,"1,076","9,076",1,0.0%,,0.1%,149,303,"1,245"
Q52,WEST YORKSHIRE ,RCF,AIREDALE NHS FOUNDATION TRUST,"4,541","4,348","4,659",97.5%,A&E HES attendances are within 10% of SitReps,"4,541",0,0.0%,7.5%,"4,541",156,3.4%,"4,541",0,0.0%,"4,541",266,5.9%,0.1%,"1,401",277,19.8%,,0.1%,0,20,"1,434","4,380",480,11.0%,,0.1%,71,187,362,198,318,648,118,237,696,"4,541",0,0.0%,,0.3%,137,240,696
Q48,MERSEYSIDE ,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,"4,730","4,361","4,673",101.2%,A&E HES attendances are within 10% of SitReps,"4,730",0,0.0%,0.1%,"4,730",194,4.1%,"4,730",0,0.0%,"4,730",378,8.0%,0.0%,531,0,0.0%,Yes,0.0%,~,~,~,"4,536",0,0.0%,,0.4%,93,221,"1,438",137,232,428,123,235,531,"4,730",0,0.0%,,0.3%,126,234,531
Q68,SURREY AND SUSSEX ,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,"7,430","8,228","8,816",84.3%,A&E HES attendances are within 20% of SitReps,"7,430",7,0.1%,*,"7,423",42,0.6%,"7,430",0,0.0%,"7,430",457,6.2%,0.0%,"2,309",0,0.0%,,0.1%,7,"1,436","1,439","7,286",249,3.4%,,0.2%,47,139,"1,439",207,445,"1,135",122,236,"1,013","7,430",0,0.0%,,0.2%,144,247,"1,305"
Q69,THAMES VALLEY ,NQT10,ASSURA READING LLP,No Data,"3,089","3,310",No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,"3,281","3,281",100.0%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,No Data,No Data,No Data,No Data
Q71,LONDON ,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","17,796","19,729","21,138",84.2%,A&E HES attendances are within 20% of SitReps,"17,796",304,1.7%,0.0%,"17,492",887,5.1%,"17,796",0,0.0%,"17,796","1,745",9.8%,0.1%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,"16,523","3,566",21.6%,,0.0%,91,222,635,238,693,"1,349",170,337,"1,402","17,796",0,0.0%,,0.1%,188,453,"1,402"
Q71,LONDON ,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,"12,147","11,544","12,369",98.2%,A&E HES attendances are within 10% of SitReps,"12,147",0,0.0%,0.0%,"12,147",245,2.0%,"12,147",0,0.0%,"12,147",945,7.8%,0.0%,"2,500",0,0.0%,,2.3%,12,"1,435","1,439","11,895",0,0.0%,,3.9%,68,206,"1,425",234,576,"1,272",118,236,"1,216","12,147",0,0.0%,,0.0%,141,239,"1,272"
