name,tel,street,locality,region,postcode
Sidmouth Hospital,01395 512 482,All Saints Road,Sidmouth,Devon,EX10 8EN
St Mary's Hospital,020 3312 6666,Praed Street,London,Greater London,W2 1NY
Harefield Hospital,01895 823 737,Hill End Road,Harefield,Middlesex,UB9 6JH
Ripley Hospital,01773 743456,Sandham Lane,Ripley,Derbyshire,DE5 3HE
"West Middlesex University Hospital, O Block",020 8630 3475,"Therapies Centre (O-Block), West Middlesex Hospital, Twickenham Road",Isleworth,Middlesex,TW7 6AF
Coalville Community Hospital,,"Coalville Hospital, Broom Leys Road",Coalville,Leicestershire,LE67 4DE
Newmarket Hospital,01638 558400,Exning Road,Newmarket,Suffolk,CB8 7JG
St Mary's NHS Treatment Centre,0333 200 1822,Milton Road,Portsmouth,Hampshire,PO3 6DW
South Liverpool NHS Treatment Centre GP Doctors Service,0151 295 9000,"Church Road, Garston",Liverpool,,L19 2LW
The Royal National Orthopaedic Hospital (Stanmore),020 8954 2300,Brockley Hill,Stanmore,Middlesex,HA7 4LP
Holly House Hospital,,High Road,Buckhurst Hill,Essex,IG9 5HX
Ottery St Mary Hospital,01404 816 000,Keegan Close,Ottery St Mary,Devon,EX11 1DN
Robert Jones & Agnes Hunt Orthopaedic and District Hospital,,Gobowen,Oswestry,Shropshire,SY10 7AG
Belle Vale Health Centre,0151 488 1200,"Hedgefield Road, Liverpool, Merseyside",Merseyside,Merseyside,L25 2XE
Abbey Hey Clinic,,Constable Street,,Manchester,M18 8GD
Huddersfield Royal Infirmary,01484 342000,"Acre Street, Lindley, Huddersfield",,,HD3 3EA
"National Hospital For Neurology and Neurosurgery, Queen Square",020 3456 7890,Queen Square,London,,WC1N 3BG
University Dental Hospital,0151 706 2000,Pembroke Place,Liverpool,Merseyside,L3 5PS
Eccleshill Community Hospital,01274 323200,"450 Harrogate Road, Eccleshill",Bradford,West Yorkshire,BD10 0JE
Cossham Hospital,0117 340 8400,"Lodge Road, Kingswood",Bristol,,BS15 1LF
Milford Specialist Rehabilitation Hospital,01483 782500,Tuesley Lane,Godalming,Surrey,GU7 1UF
Springfield Hospital,01245 234 000,Lawn Lane,Chelmsford,Essex,CM1 7GU
Miu St Georges Centre,,"2 St. Georges Centre, St. Georges Road",Leeds,West Yorkshire,LS10 4UZ
Reservoir Court,0121 685 7333,"220 Reservoir Road, Erdington",Birmingham,West Midlands,B23 6DJ
Musgrove Park Hospital,,Musgrove Park,Taunton,Somerset,TA1 5DA
Freeman Hospital,,"Freeman Hospital, Freeman Road, High Heaton",Newcastle Upon Tyne,Tyne And Wear,NE7 7DN
Friarage Hospital Site,01609 779911,Friarage Hospital,Northallerton,North Yorkshire,DL6 1JG
Papworth Hospital,01480 830541,"Papworth Hall, Papworth Everard",Cambridge,Cambridgeshire,CB23 3RE
Honiton Hospital,01404 540 540,Marlpits Road,Honiton,,EX14 2DE
Torbay Hospital,01803 614567,"Hengrave House, Torbay Hospital, Newton Road",Torquay,Devon,TQ2 7AA
Wantage Community Hospital,,Garston Lane,Wantage,Oxfordshire,OX12 7AS
Keresforth Centre,01226 730000,Keresforth Close,Barnsley,,S70 6RS
North Devon District Hospital,01271 322466,"Eye Department, Raleigh Park, Barnstaple",,,EX31 4JB
Birmingham Dental Hospital,0121 466 5000,St Chad's Circus,Birmingham,,B4 6NN
Sutton Cottage Hospital,,27A Birmingham Road,Sutton Coldfield,West Midlands,B72 1QH
Exmouth Hospital,,Claremont Grove,Exmouth,Devon,EX8 2JN
Longsight Medical Practice,,526-528 Stockport Road,,Manchester,M13 0RR
"Nuffield Health, Bournemouth Hospital",0800 015 5020,67 Landsdowne Road,Bournemouth,Dorset,BH1 1RW
Delce Health Centre,,1 The Delce,,Rochester,ME1 2EL
Thame Community Hospital,01844 212727,East Street,Thame,,OX9 3JT
Royal Lancaster Infirmary,01524 65944,Ashton Road,Lancaster,Lancashire,LA1 4RP
Newcastle Dental Hospital,(0191) 233 6161,Richardson Road,Newcastle Upon Tyne,Tyne and Wear,NE2 4AZ
